sweepnet sample type,plant taxon from which arthropods were collected,new sweepnet vegetation taxon,notes regarding sweepnet sample,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
plant,Larrea tridentata,,,49,ESCA_plot,17,233017239,7b8ef0b9-5882-44e5-838f-808ff438b534,2023-04-19 22:19:53,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Ambrosia deltoidea,,,50,ESCA_plot,17,233017239,7b8ef0b9-5882-44e5-838f-808ff438b534,2023-04-19 22:19:53,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Lycium fremontii,,,51,ESCA_plot,17,233017239,7b8ef0b9-5882-44e5-838f-808ff438b534,2023-04-19 22:19:53,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,52,ESCA_plot,18,233017248,402b3d57-db69-4306-a3db-80f40e26bef1,2023-04-19 22:19:58,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,53,ESCA_plot,18,233017248,402b3d57-db69-4306-a3db-80f40e26bef1,2023-04-19 22:19:58,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Ambrosia deltoidea,,,54,ESCA_plot,18,233017248,402b3d57-db69-4306-a3db-80f40e26bef1,2023-04-19 22:19:58,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Calliandra eriophylla,,,55,ESCA_plot,19,233240017,f8664ecd-13e1-42a8-aa92-76f9b3413b08,2023-04-21 01:13:33,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
plant,Eriogonum fasciculatum,,,56,ESCA_plot,19,233240017,f8664ecd-13e1-42a8-aa92-76f9b3413b08,2023-04-21 01:13:33,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
plant,Simmondsia chinensis,,,57,ESCA_plot,19,233240017,f8664ecd-13e1-42a8-aa92-76f9b3413b08,2023-04-21 01:13:33,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,58,ESCA_plot,20,233367529,8ab8a4c1-f612-49fc-937b-9d7afc64e011,2023-04-21 18:59:53,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,59,ESCA_plot,20,233367529,8ab8a4c1-f612-49fc-937b-9d7afc64e011,2023-04-21 18:59:53,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,60,ESCA_plot,20,233367529,8ab8a4c1-f612-49fc-937b-9d7afc64e011,2023-04-21 18:59:53,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,61,ESCA_plot,21,233762319,31b0bbe0-d249-408e-b813-e3207c5b567b,2023-04-24 20:33:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Encelia farinosa,,,62,ESCA_plot,21,233762319,31b0bbe0-d249-408e-b813-e3207c5b567b,2023-04-24 20:33:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Simmondsia chinensis,,,63,ESCA_plot,21,233762319,31b0bbe0-d249-408e-b813-e3207c5b567b,2023-04-24 20:33:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Acacia greggii,,,64,ESCA_plot,22,233989092,cb0b1662-bf91-4994-8fcc-87cf532c4de0,2023-04-25 21:37:37,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Encelia,,Encelia virginensis,65,ESCA_plot,22,233989092,cb0b1662-bf91-4994-8fcc-87cf532c4de0,2023-04-25 21:37:37,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Lycium fremontii,,,66,ESCA_plot,22,233989092,cb0b1662-bf91-4994-8fcc-87cf532c4de0,2023-04-25 21:37:37,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,67,ESCA_plot,23,234197091,b50e3fff-a6d7-40d7-beda-b910b7ad6daf,2023-04-26 18:55:43,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,68,ESCA_plot,23,234197091,b50e3fff-a6d7-40d7-beda-b910b7ad6daf,2023-04-26 18:55:43,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Acacia greggii,,,69,ESCA_plot,23,234197091,b50e3fff-a6d7-40d7-beda-b910b7ad6daf,2023-04-26 18:55:43,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Hesperaloe parviflora,,,70,ESCA_plot,24,234475955,4b3f94b3-bffc-4fdb-84e2-109d175f656f,2023-04-27 23:50:08,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Eremophila,,Eremophila racemosa x maculata spp.,71,ESCA_plot,24,234475955,4b3f94b3-bffc-4fdb-84e2-109d175f656f,2023-04-27 23:50:08,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Fraxinus,,,72,ESCA_plot,24,234475955,4b3f94b3-bffc-4fdb-84e2-109d175f656f,2023-04-27 23:50:08,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Prosopis,,,73,ESCA_plot,25,234475993,7a53543f-0620-42b6-afd6-a9db8d60d085,2023-04-27 23:50:43,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,NULL,Buxus sempervirens,,74,ESCA_plot,25,234475993,7a53543f-0620-42b6-afd6-a9db8d60d085,2023-04-27 23:50:43,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Carya illinoinensis,,,75,ESCA_plot,25,234475993,7a53543f-0620-42b6-afd6-a9db8d60d085,2023-04-27 23:50:43,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,76,ESCA_plot,26,234697077,d2ae038e-37c4-41dc-9e9e-8d158e5d7589,2023-04-28 20:30:56,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Encelia farinosa,,,77,ESCA_plot,26,234697077,d2ae038e-37c4-41dc-9e9e-8d158e5d7589,2023-04-28 20:30:56,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Krameria,,Krameria bicolor,78,ESCA_plot,26,234697077,d2ae038e-37c4-41dc-9e9e-8d158e5d7589,2023-04-28 20:30:56,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Nerium oleander,,,79,ESCA_plot,27,235173841,2ec4c2e0-4907-4551-b093-fbdc6952952c,2023-05-01 19:02:42,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Leucophyllum,,Leucophyllum sp.,80,ESCA_plot,27,235173841,2ec4c2e0-4907-4551-b093-fbdc6952952c,2023-05-01 19:02:42,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Senna artemisioides,,,81,ESCA_plot,27,235173841,2ec4c2e0-4907-4551-b093-fbdc6952952c,2023-05-01 19:02:42,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Nerium oleander,,,82,ESCA_plot,28,235173872,33f20dc2-eff4-4854-a7b4-b46d8267f42e,2023-05-01 19:02:54,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Citrus,,Citrus sp.,83,ESCA_plot,28,235173872,33f20dc2-eff4-4854-a7b4-b46d8267f42e,2023-05-01 19:02:54,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Citrus,,Citrus sp.,84,ESCA_plot,28,235173872,33f20dc2-eff4-4854-a7b4-b46d8267f42e,2023-05-01 19:02:54,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Simmondsia chinensis,,,85,ESCA_plot,29,235419132,81668631-a923-447e-82fa-8b72c561d3c2,2023-05-02 22:51:53,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Encelia farinosa,,,86,ESCA_plot,29,235419132,81668631-a923-447e-82fa-8b72c561d3c2,2023-05-02 22:51:53,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Ambrosia deltoidea,,,87,ESCA_plot,29,235419132,81668631-a923-447e-82fa-8b72c561d3c2,2023-05-02 22:51:53,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Krameria,,Krameria bicolor,88,ESCA_plot,30,235664563,a4992836-9d78-428e-b852-2ac4666055cf,2023-05-03 22:14:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Encelia farinosa,,,89,ESCA_plot,30,235664563,a4992836-9d78-428e-b852-2ac4666055cf,2023-05-03 22:14:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Simmondsia chinensis,,,90,ESCA_plot,30,235664563,a4992836-9d78-428e-b852-2ac4666055cf,2023-05-03 22:14:17,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Simmondsia chinensis,,,91,ESCA_plot,31,235934263,c9caeecc-255c-42b7-b6ad-8cdc5d701565,2023-05-04 22:29:24,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Calliandra eriophylla,,,92,ESCA_plot,31,235934263,c9caeecc-255c-42b7-b6ad-8cdc5d701565,2023-05-04 22:29:24,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Ambrosia deltoidea,,,93,ESCA_plot,31,235934263,c9caeecc-255c-42b7-b6ad-8cdc5d701565,2023-05-04 22:29:24,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Salsola tragus,,,94,ESCA_plot,32,236187157,54a43a18-4c1b-40e0-a992-e4182ed754ae,2023-05-05 21:40:15,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Malva parviflora,,,95,ESCA_plot,32,236187157,54a43a18-4c1b-40e0-a992-e4182ed754ae,2023-05-05 21:40:15,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Atriplex elegans,,,96,ESCA_plot,32,236187157,54a43a18-4c1b-40e0-a992-e4182ed754ae,2023-05-05 21:40:15,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Lantana camara,,,97,ESCA_plot,33,236187178,1ba3df0b-1073-4c0c-9767-bdde0291506c,2023-05-05 21:40:23,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
plant,Lantana camara,,,98,ESCA_plot,33,236187178,1ba3df0b-1073-4c0c-9767-bdde0291506c,2023-05-05 21:40:23,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
ground_sweep,,,Cynodondactylon - Recently mowed,99,ESCA_plot,33,236187178,1ba3df0b-1073-4c0c-9767-bdde0291506c,2023-05-05 21:40:23,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
plant,Stephanomeria,,Stephanomeria pauciflora,100,ESCA_plot,34,236786569,7b22a064-0770-4450-991f-6ce0a5aaa0f1,2023-05-08 22:52:40,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,101,ESCA_plot,34,236786569,7b22a064-0770-4450-991f-6ce0a5aaa0f1,2023-05-08 22:52:40,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Larrea tridentata,,,102,ESCA_plot,34,236786569,7b22a064-0770-4450-991f-6ce0a5aaa0f1,2023-05-08 22:52:40,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Nerium oleander,,,103,ESCA_plot,35,236786617,bf43f9e8-808e-42f0-8dec-9ed1decd09f5,2023-05-08 22:52:56,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
plant,Ficus microcarpa,,,104,ESCA_plot,35,236786617,bf43f9e8-808e-42f0-8dec-9ed1decd09f5,2023-05-08 22:52:56,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
plant,Ficus microcarpa,,,105,ESCA_plot,35,236786617,bf43f9e8-808e-42f0-8dec-9ed1decd09f5,2023-05-08 22:52:56,,,submitted_via_web,caplter_luke,vJf4kUK8Jzine9YXd7YCoJ,
plant,Ulmus parvifolia,,,106,ESCA_plot,36,237037270,d66aa7cd-5b40-4ae9-847d-743e31b7a1ae,2023-05-09 20:05:31,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
ground_sweep,,,Lawn recently mowed,107,ESCA_plot,36,237037270,d66aa7cd-5b40-4ae9-847d-743e31b7a1ae,2023-05-09 20:05:31,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
ground_sweep,,,Lawn recently mowed,108,ESCA_plot,36,237037270,d66aa7cd-5b40-4ae9-847d-743e31b7a1ae,2023-05-09 20:05:31,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Senna artemisioides,,,109,ESCA_plot,37,237037290,05b8d0af-1e20-4168-8673-1a68174e4bc6,2023-05-09 20:05:36,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,NULL,Eromophilla sp. ,,110,ESCA_plot,37,237037290,05b8d0af-1e20-4168-8673-1a68174e4bc6,2023-05-09 20:05:36,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Bougainvillea,,Bougainvillea sp. ,111,ESCA_plot,37,237037290,05b8d0af-1e20-4168-8673-1a68174e4bc6,2023-05-09 20:05:36,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Ficus,,Ficus sp.,112,ESCA_plot,38,237347871,ef9536d5-b774-44ae-beb0-8ef5983c814d,2023-05-10 23:05:16,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Leucophyllum,,Leucophyllum sp.,113,ESCA_plot,38,237347871,ef9536d5-b774-44ae-beb0-8ef5983c814d,2023-05-10 23:05:16,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Citrus,,Citrus sp.,114,ESCA_plot,38,237347871,ef9536d5-b774-44ae-beb0-8ef5983c814d,2023-05-10 23:05:16,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Lysiloma,,Lysiloma sp.,115,ESCA_plot,39,237347904,4b8f5b2b-9d1a-479b-8d9c-e837ea68dbcd,2023-05-10 23:05:52,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Lantana camara,,,116,ESCA_plot,39,237347904,4b8f5b2b-9d1a-479b-8d9c-e837ea68dbcd,2023-05-10 23:05:52,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Ulmus parvifolia,,,117,ESCA_plot,39,237347904,4b8f5b2b-9d1a-479b-8d9c-e837ea68dbcd,2023-05-10 23:05:52,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,NULL,Quercus polymorpha,,118,ESCA_plot,40,237622023,6ed30c3a-184c-445b-9743-960ffa376a60,2023-05-11 22:34:58,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Pennisetum setaceum,,,119,ESCA_plot,40,237622023,6ed30c3a-184c-445b-9743-960ffa376a60,2023-05-11 22:34:58,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Nerium oleander,,,120,ESCA_plot,40,237622023,6ed30c3a-184c-445b-9743-960ffa376a60,2023-05-11 22:34:58,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Parkinsonia florida,,,121,ESCA_plot,41,237622032,3877a4b8-412e-4439-8210-01c1ac0bd175,2023-05-11 22:35:04,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
plant,Sphaeralcea ambigua,,,122,ESCA_plot,41,237622032,3877a4b8-412e-4439-8210-01c1ac0bd175,2023-05-11 22:35:04,,,submitted_via_web,caplter_leia,vJf4kUK8Jzine9YXd7YCoJ,
