measurement type,taxon,new  taxon,vs_vegetation_taxon_count_calc,observation note,identified?,voucher?,hedge?,number of plants,number of plants front,number of plants back,taxon,new  taxon,vs_vegetation_taxon_group_calc,observation note,identified?,voucher?,hedge?,height of plant (m),plant width north-south (m),plant width east-west (m),clinometer distance (m),top of plant (deg),base of plant (deg),shrub shape,shrub class,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,_submission__notes,_submission__status,_submission__submitted_by,_submission___version__,_submission__tags
survey,,,,,,,,,,,Ditaxis lanceolata,,,,yes,no,no,,,,,,,,,78,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Eriogonum fasciculatum,,,,yes,no,no,,,,,,,,,79,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Krameria grayi,,,,yes,no,no,,,,,,,,,80,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Larrea tridentata,,,,yes,no,no,,,,,,,,,81,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
survey,,,,,,,,,,,Fouquieria splendens,,,,yes,no,no,,,,,,,,,82,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Porophyllum gracile,,,,yes,no,no,1,,,,,,,,,,,,,,,,,,83,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Fouquieria splendens,,,,yes,no,no,2,,,,,,,,,,,,,,,,,,84,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Larrea tridentata,,,,yes,no,no,14,,,,,,,,,,,,,,,,,,85,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Eriogonum fasciculatum,,,,yes,no,no,14,,,,,,,,,,,,,,,,,,86,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Krameria grayi,,,,yes,no,no,23,,,,,,,,,,,,,,,,,,87,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Menodora scabra,,,,yes,no,no,1,,,,,,,,,,,,,,,,,,88,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Ditaxis lanceolata,,,,yes,no,no,2,,,,,,,,,,,,,,,,,,89,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Janusia gracilis,,,,yes,no,no,3,,,,,,,,,,,,,,,,,,90,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Viguiera parishii,,,,yes,no,no,13,,,,,,,,,,,,,,,,,,91,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Adenophyllum porophylloides,,,,yes,no,no,6,,,,,,,,,,,,,,,,,,92,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Cylindropuntia acanthocarpa,,,,yes,no,no,1,,,,,,,,,,,,,,,,,,93,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Cylindropuntia bigelovii,,,,yes,no,no,2,,,,,,,,,,,,,,,,,,94,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Echinocereus engelmannii,,,,yes,no,no,3,,,,,,,,,,,,,,,,,,95,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
count,Ephedra aspera,,,,yes,no,no,24,,,,,,,,,,,,,,,,,,96,ESCA_shrub_survey,10,230549900,c48309e9-515f-49d0-8bda-476cc615df0d,2023-04-06 23:30:11,,,submitted_via_web,caplter_luke,vQJFcyBBp97S6P34kggpQx,
