table,name,SS_col,HIN_col
HI,indicate_visible_signs_of_human_cultivation_presence_of_herbaceous_ground_cover,,
HI,indicate_visible_signs_of_human_cultivation_presence_of_other_vegetation_types,,
,indicate_visible_signs_of_human_added_irrigation,,
HI,indicate_visible_signs_of_human_added_irrigation_presence_of_hand_water,,
HI,indicate_visible_signs_of_human_added_irrigation_presence_of_drip_water,,
HI,indicate_visible_signs_of_human_added_irrigation_presence_of_overhead_water,,
HI,indicate_visible_signs_of_human_added_irrigation_presence_of_flood_water,,
HI,indicate_visible_signs_of_human_added_irrigation_presence_of_subterranean_water,,
HI,indicate_visible_signs_of_human_added_irrigation_no_water,,
HI,indicate_visible_signs_of_human_added_irrigation_presence_of_pervious_irrigation,,
HI,approximate_perceived_social_class_of_the_neighborhood,,
,note_all_the_building_types_in_the_neighborhood,,
HIN,note_all_the_building_types_in_the_neighborhood_neighborhood_buildings_include_residential,,neigh_buildings_residential
HIN,note_all_the_building_types_in_the_neighborhood_neighborhood_buildings_include_commercial,,neigh_buildings_commercial
HIN,note_all_the_building_types_in_the_neighborhood_neighborhood_buildings_include_institutional,,neigh_buildings_institutional
HIN,note_all_the_building_types_in_the_neighborhood_neighborhood_buildings_include_industrial,,neigh_buildings_industrial
,note_all_the_residence_types_in_the_neighborhood,,
HIN,note_all_the_residence_types_in_the_neighborhood_neighborhood_residences_include_apartments,,neigh_residence_apartments
HIN,note_all_the_residence_types_in_the_neighborhood_neighborhood_residences_include_single_family_dwellings,,neigh_residence_multi_family
HIN,note_all_the_residence_types_in_the_neighborhood_neighborhood_residences_include_multi_family_dwellings,,neigh_residence_single_family
,note_all_the_irrigation_types_in_the_neighborhood,,
HIN,note_all_the_irrigation_types_in_the_neighborhood_neighborhood_irrigation_features_drip_or_trickle,,neigh_irrigation_drip_trickle
HIN,note_all_the_irrigation_types_in_the_neighborhood_neighborhood_irrigation_features_flood_or_hand_watering,,neigh_irrigation_flood_hand
HIN,note_all_the_irrigation_types_in_the_neighborhood_neighborhood_irrigation_features_overhead_spraying,,neigh_irrigation_overhead_spray
,note_the_general_upkeep_of_the_landscape_in_the_neighborhood,,
HIN,note_the_general_upkeep_of_the_landscape_in_the_neighborhood_neighborhood_yard_upkeep_is_good,,neigh_yard_upkeep_good
HIN,note_the_general_upkeep_of_the_landscape_in_the_neighborhood_neighborhood_yard_upkeep_is_poor,,neigh_yard_upkeep_poor
HIN,note_the_general_upkeep_of_the_landscape_in_the_neighborhood_neighborhood_yard_upkeep_is_professionally_maintained,,neigh_yard_upkeep_professionally_maintained
,note_the_landscape_types_in_the_neighborhood,,
HIN,note_the_landscape_types_in_the_neighborhood_neighborhood_landscape_is_mesic,,neigh_landscape_mesic
HIN,note_the_landscape_types_in_the_neighborhood_neighborhood_landscape_is_mixed,,neigh_landscape_mixed
HIN,note_the_landscape_types_in_the_neighborhood_neighborhood_landscape_is_xeric,,neigh_landscape_xeric
HIN,note_the_landscape_types_in_the_neighborhood_neighborhood_landscape_features_turf,,neigh_landscape_turf_present
,note_the_types_of_roadways_in_the_neighborhood_98,,
HIN,note_the_types_of_roadways_in_the_neighborhood_neighborhood_traffic_features_a_collector_street_99,,neigh_traffic_collector_street
HIN,note_the_types_of_roadways_in_the_neighborhood_neighborhood_traffic_features_a_cul_de_sac_100,,neigh_traffic_cul_de_sac
HIN,note_the_types_of_roadways_in_the_neighborhood_neighborhood_traffic_features_a_dirt_road_101,,neigh_traffic_dirt_road
HIN,note_the_types_of_roadways_in_the_neighborhood_neighborhood_traffic_features_a_freeway_or_expressway_102,,neigh_traffic_freeway_expressway
HIN,note_the_types_of_roadways_in_the_neighborhood_neighborhood_traffic_features_a_highway_103,,neigh_traffic_highway
HIN,note_the_types_of_roadways_in_the_neighborhood_neighborhood_traffic_features_a_major_city_road_104,,neigh_traffic_major_city_road
HIN,note_the_types_of_roadways_in_the_neighborhood_neighborhood_traffic_does_not_feature_roads_of_any_type_105,,neigh_traffic_none
HIN,note_the_types_of_roadways_in_the_neighborhood_neighborhood_traffic_features_a_paved_local_street_106,,neigh_traffic_paved_local_street
HIN,note_any_unusual_features_such_as_if_the_plot_is_surrounded_by_notably_different_neighborhoods,,neigh_notes
RM,plot_center_photo_north,,
,plot_center_photo_north_url,,
RM,plot_center_photo_south,,
,plot_center_photo_south_url,,
RM,plot_center_photo_west,,
,plot_center_photo_west_url,,
RM,plot_center_photo_east,,
,plot_center_photo_east_url,,
SS,soil_core_location_description_north,location_description_north,
,soil_core_location_position_north,,
SS,soil_core_location_position_north_latitude,north_utm_lat,
SS,soil_core_location_position_north_longitude,north_utm_long,
SS,soil_core_location_position_north_altitude,north_utm_altitude,
SS,soil_core_location_position_north_precision,north_utm_accuracy,
SS,soil_core_location_description_south,location_description_south,
,soil_core_location_position_south,,
SS,soil_core_location_position_south_latitude,south_utm_lat,
SS,soil_core_location_position_south_longitude,south_utm_long,
SS,soil_core_location_position_south_altitude,south_utm_altitude,
SS,soil_core_location_position_south_precision,south_utm_accuracy,
SS,soil_core_location_description_west,location_description_west,
,soil_core_location_position_west,,
SS,soil_core_location_position_west_latitude,west_utm_lat,
SS,soil_core_location_position_west_longitude,west_utm_long,
SS,soil_core_location_position_west_altitude,west_utm_altitude,
SS,soil_core_location_position_west_precision,west_utm_accuracy,
SS,soil_core_location_description_east,location_description_east,
,soil_core_location_position_east,,
SS,soil_core_location_position_east_latitude,east_utm_lat,
SS,soil_core_location_position_east_longitude,east_utm_long,
SS,soil_core_location_position_east_altitude,east_utm_altitude,
SS,soil_core_location_position_east_precision,east_utm_accuracy,
SS,soil_core_location_description_center,location_description_center,
,soil_core_location_position_center,,
SS,soil_core_location_position_center_latitude,center_utm_lat,
SS,soil_core_location_position_center_longitude,center_utm_long,
SS,soil_core_location_position_center_altitude,center_utm_altitude,
SS,soil_core_location_position_center_precision,center_utm_accuracy,
SS,notes_regarding_sampling_of_soils,sampling_notes,
,sweepnet_samples_calc,,
,id,,
,uuid,,
,submission_time,,
,status,,
,submitted_by,,
,version,,
,index,,
