Sample ID,Sample Type,Replicate Number,Repeat Number,Cup Number,Manual Dilution Factor,Auto Dilution Factor,Weight (Units),Weight,Units,Detection Date,Detection Time,User Name,Run File Name,Description,Channel Number,Analyte Name,Peak Concentration,Determined Conc.,Concentration Units,Peak Area,Peak Height,Calibration equation,Retention Time,Inject to Peak Start,Conc x ADF,Conc x MDF,Conc x ADF x MDF
CalStd F,Calibration Standard,1,1,S6,1,1,,,,6/16/2016,10:56:53 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.1,0.1070566,mg N/L,0.593,0.0255,Conc = 1.51e-3 * Area^2 + 0.159 * Area + 0.0133,94,67.6,0.1,0.1,0.1
CalStd F,Calibration Standard,1,1,S6,1,1,,,,6/16/2016,10:56:53 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.2,0.2131946,mg N/L,1.72,0.066,Conc = 1.80e-4 * Area^2 + 0.144 * Area - 8.39e-3,113,59.8,0.2,0.2,0.2
CalStd G,Calibration Standard,1,1,S7,1,1,,,,6/16/2016,10:58:05 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.05,4.00E-02,mg N/L,0.244,0.0116,Conc = 1.50e-3 * Area^2 + 0.159 * Area + 0.0119,92,68.9,0.05,0.05,0.05
CalStd G,Calibration Standard,1,1,S7,1,1,,,,6/16/2016,10:58:05 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.1,0.1070162,mg N/L,1.05,0.0401,Conc = 1.77e-4 * Area^2 + 0.145 * Area - 0.0203,113,60.6,0.1,0.1,0.1
Cal Std H,Calibration Standard,1,1,S8,1,1,,,,6/16/2016,10:59:18 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0,8.62E-03,mg N/L,0.0677,0.00157,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,20.6,15.7,0,0,0
Cal Std H,Calibration Standard,1,1,S8,1,1,,,,6/16/2016,10:59:18 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0,-4.17E-02,mg N/L,-0.0611,-0.00191,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,93.6,82.9,0,0,0
Ext Source QC,Method Detection Limit,1,1,S16,1,1,,,,6/16/2016,11:00:31 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,VHG YASUCM-500 1:50 Dilution,1,NItrate/Nitrite,0.441,,mg N/L,2.64,0.117,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,94.4,69.7,0.441,0.441,0.441
Ext Source QC,Method Detection Limit,1,1,S16,1,1,,,,6/16/2016,11:00:31 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,VHG YASUCM-500 1:50 Dilution,2,Ammonia,0.279,,mg N/L,2.02,0.079,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,111,71.3,0.279,0.279,0.279
Ext Source QC,Method Detection Limit,2,1,S16,1,1,,,,6/16/2016,11:01:44 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,VHG YASUCM-500 1:50 Dilution,1,NItrate/Nitrite,0.434,,mg N/L,2.6,0.116,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,93.6,69.7,0.434,0.434,0.434
Ext Source QC,Method Detection Limit,2,1,S16,1,1,,,,6/16/2016,11:01:44 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,VHG YASUCM-500 1:50 Dilution,2,Ammonia,0.273,,mg N/L,1.98,0.0785,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,111,77.5,0.273,0.273,0.273
Ext Source QC,Method Detection Limit,3,1,S16,1,1,,,,6/16/2016,11:02:57 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,VHG YASUCM-500 1:50 Dilution,1,NItrate/Nitrite,0.503,,mg N/L,3,0.128,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,93.2,67.6,0.503,0.503,0.503
Ext Source QC,Method Detection Limit,3,1,S16,1,1,,,,6/16/2016,11:02:57 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,VHG YASUCM-500 1:50 Dilution,2,Ammonia,0.271,,mg N/L,1.97,0.0782,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,113,57.3,0.271,0.271,0.271
Blank,Check Standard,1,1,S8,1,1,,,,6/16/2016,11:08:45 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.0138,9.03E-03,mg N/L,0.07,0.00208,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,33,15.3,0.0138,0.0138,0.0138
Blank,Check Standard,1,1,S8,1,1,,,,6/16/2016,11:08:45 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.00264,-1.53E-02,mg N/L,0.114,0.00209,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,173,54.4,0.00264,0.00264,0.00264
CCV,Check Standard,1,1,S4,1,1,,,,6/16/2016,11:09:56 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.428,0.4519841,mg N/L,2.56,0.115,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,93.2,70.1,0.428,0.428,0.428
CCV,Check Standard,1,1,S4,1,1,,,,6/16/2016,11:09:56 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.957,0.9737204,mg N/L,6.67,0.269,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,112,69.7,0.957,0.957,0.957
U8 TOP,Unknown,1,1,1,1,1,,,,6/16/2016,11:16:25 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,2.83,,mg N/L,15.3,0.65,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,93.2,68.5,2.83,2.83,2.83
U8 TOP,Unknown,1,1,1,1,1,,,,6/16/2016,11:16:25 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.179,,mg N/L,1.33,0.0476,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,111,57.3,0.179,0.179,0.179
U8 BOT,Unknown,1,1,2,1,1,,,,6/16/2016,11:17:36 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,4.73,,mg N/L,24,1.04,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,94,69.7,4.73,4.73,4.73
U8 BOT,Unknown,1,1,2,1,1,,,,6/16/2016,11:17:36 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.184,,mg N/L,1.37,0.0477,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,110,66.8,0.184,0.184,0.184
H7 TOP,Unknown,1,1,3,1,1,,,,6/16/2016,11:18:47 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.178,,mg N/L,1.07,0.0483,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,92.8,71.8,0.178,0.178,0.178
H7 TOP,Unknown,1,1,3,1,1,,,,6/16/2016,11:18:47 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.0788,,mg N/L,0.641,0.0247,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,111,80.4,0.0788,0.0788,0.0788
H7 BOT,Unknown,1,1,4,1,1,,,,6/16/2016,11:19:58 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.0557,,mg N/L,0.327,0.015,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,94.8,71.8,0.0557,0.0557,0.0557
H7 BOT,Unknown,1,1,4,1,1,,,,6/16/2016,11:19:58 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.064,,mg N/L,0.539,0.0217,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,113,83.7,0.064,0.064,0.064
T20 TOP,Unknown,1,1,5,1,1,,,,6/16/2016,11:21:09 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.494,,mg N/L,2.95,0.13,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,94.8,70.5,0.494,0.494,0.494
T20 TOP,Unknown,1,1,5,1,1,,,,6/16/2016,11:21:09 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.219,,mg N/L,1.61,0.0628,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,111,69.3,0.219,0.219,0.219
T20 BOT,Unknown,1,1,6,1,1,,,,6/16/2016,11:22:19 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.45,,mg N/L,2.69,0.117,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,94.4,69.3,0.45,0.45,0.45
T20 BOT,Unknown,1,1,6,1,1,,,,6/16/2016,11:22:19 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.125,,mg N/L,0.963,0.037,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,113,82.5,0.125,0.125,0.125
Z19 TOP,Unknown,1,1,7,1,1,,,,6/16/2016,11:23:30 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.214,,mg N/L,1.29,0.0572,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,93.6,69.3,0.214,0.214,0.214
Z19 TOP,Unknown,1,1,7,1,1,,,,6/16/2016,11:23:30 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.15,,mg N/L,1.13,0.0439,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,111,83.7,0.15,0.15,0.15
Z19 BOT,Unknown,1,1,8,1,1,,,,6/16/2016,11:24:41 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.284,,mg N/L,1.7,0.0736,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,92.8,69.3,0.284,0.284,0.284
Z19 BOT,Unknown,1,1,8,1,1,,,,6/16/2016,11:24:41 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.124,,mg N/L,0.954,0.0369,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,112,54.4,0.124,0.124,0.124
G12 TOP,Unknown,1,1,9,1,1,,,,6/16/2016,11:25:51 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.197,,mg N/L,1.19,0.0528,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,95.3,69.7,0.197,0.197,0.197
G12 TOP,Unknown,1,1,9,1,1,,,,6/16/2016,11:25:51 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.132,,mg N/L,1.01,0.04,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,113,66.8,0.132,0.132,0.132
G12 BOT,Unknown,1,1,10,1,1,,,,6/16/2016,11:27:01 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.244,,mg N/L,1.47,0.0631,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,94,68.5,0.244,0.244,0.244
G12 BOT,Unknown,1,1,10,1,1,,,,6/16/2016,11:27:01 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.0889,,mg N/L,0.711,0.027,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,112,71.3,0.0889,0.0889,0.0889
Blank,Check Standard,1,2,S8,1,1,,,,6/16/2016,11:28:14 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.011,5.99E-03,mg N/L,0.053,0.00151,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,82.1,17.7,0.011,0.011,0.011
Blank,Check Standard,1,2,S8,1,1,,,,6/16/2016,11:28:14 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,-0.0026,-2.08E-02,mg N/L,0.0775,0.00187,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,118,68.9,-0.0026,-0.0026,-0.0026
CCV,Check Standard,1,2,S4,1,1,,,,6/16/2016,11:29:25 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.49,0.5162582,mg N/L,2.92,0.127,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,93.6,69.3,0.49,0.49,0.49
CCV,Check Standard,1,2,S4,1,1,,,,6/16/2016,11:29:25 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.965,0.9819103,mg N/L,6.73,0.27,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,112,79.2,0.965,0.965,0.965
R18 TOP,Unknown,1,1,11,1,1,,,,6/16/2016,11:35:11 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,8.64,,mg N/L,39.5,1.11,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,73.4,64.7,8.64,8.64,8.64
R18 TOP,Unknown,1,1,11,1,1,,,,6/16/2016,11:35:11 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,3.33,,mg N/L,22.6,0.879,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,112,60.2,3.33,3.33,3.33
U12 TOP,Unknown,1,1,12,1,1,,,,6/16/2016,11:36:21 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,2.73,,mg N/L,14.8,0.642,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,94.4,69.3,2.73,2.73,2.73
U12 TOP,Unknown,1,1,12,1,1,,,,6/16/2016,11:36:21 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.177,,mg N/L,1.32,0.0484,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,111,68.9,0.177,0.177,0.177
L18 TOP,Unknown,1,1,13,1,1,,,,6/16/2016,11:37:31 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,2.98,,mg N/L,16.1,0.704,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,94.4,70.1,2.98,2.98,2.98
L18 TOP,Unknown,1,1,13,1,1,,,,6/16/2016,11:37:31 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.242,,mg N/L,1.77,0.0656,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,112,71.3,0.242,0.242,0.242
L18 BOT,Unknown,1,1,14,1,1,,,,6/16/2016,11:38:41 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,10.2,,mg N/L,45.2,0.895,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,75.9,65.6,10.2,10.2,10.2
L18 BOT,Unknown,1,1,14,1,1,,,,6/16/2016,11:38:41 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.655,,mg N/L,4.61,0.163,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,111,64.7,0.655,0.655,0.655
L14 TOP,Unknown,1,1,15,1,1,,,,6/16/2016,11:39:50 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.143,,mg N/L,0.857,0.0501,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,94.4,82.5,0.143,0.143,0.143
L14 TOP,Unknown,1,1,15,1,1,,,,6/16/2016,11:39:50 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.0616,,mg N/L,0.522,0.0182,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,110,66.4,0.0616,0.0616,0.0616
L14 BOT,Unknown,1,1,16,1,1,,,,6/16/2016,11:41:02 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,2.25,,mg N/L,12.5,0.556,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,94.4,69.7,2.25,2.25,2.25
L14 BOT,Unknown,1,1,16,1,1,,,,6/16/2016,11:41:02 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.0885,,mg N/L,0.709,0.0219,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,111,68.5,0.0885,0.0885,0.0885
W15 TOP,Unknown,1,1,17,1,1,,,,6/16/2016,11:42:13 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,3.05,,mg N/L,16.4,0.736,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,94,70.5,3.05,3.05,3.05
W15 TOP,Unknown,1,1,17,1,1,,,,6/16/2016,11:42:13 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.305,,mg N/L,2.2,0.0824,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,112,69.7,0.305,0.305,0.305
W15 BOT,Unknown,1,1,18,1,1,,,,6/16/2016,11:43:24 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,14.9,,mg N/L,60,2.23,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,86.6,68,14.9,14.9,14.9
W15 BOT,Unknown,1,1,18,1,1,,,,6/16/2016,11:43:24 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.526,,mg N/L,3.73,0.13,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,111,63.1,0.526,0.526,0.526
V7 TOP,Unknown,1,1,19,1,1,,,,6/16/2016,11:44:36 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,-0.321,,mg N/L,-2.02,-0.0399,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,68.5,15.3,-0.321,-0.321,-0.321
V7 TOP,Unknown,1,1,19,1,1,,,,6/16/2016,11:44:36 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.129,,mg N/L,0.988,0.0367,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,112,70.5,0.129,0.129,0.129
V7 BOT,Unknown,1,1,20,1,1,,,,6/16/2016,11:45:47 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.147,,mg N/L,0.883,0.0379,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,94.8,70.1,0.147,0.147,0.147
V7 BOT,Unknown,1,1,20,1,1,,,,6/16/2016,11:45:47 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.115,,mg N/L,0.89,0.0335,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,112,57.3,0.115,0.115,0.115
Blank,Check Standard,1,3,S8,1,1,,,,6/16/2016,11:47:00 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.00828,2.98E-03,mg N/L,0.0361,0.00192,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,47.4,26.4,0.00828,0.00828,0.00828
Blank,Check Standard,1,3,S8,1,1,,,,6/16/2016,11:47:00 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.00195,-1.61E-02,mg N/L,0.109,0.00267,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,116,60.2,0.00195,0.00195,0.00195
CCV,Check Standard,1,3,S4,1,1,,,,6/16/2016,11:48:10 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.344,0.3633255,mg N/L,2.06,0.0989,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,97.3,74.2,0.344,0.344,0.344
CCV,Check Standard,1,3,S4,1,1,,,,6/16/2016,11:48:10 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.969,0.9866035,mg N/L,6.76,0.271,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,112,76.7,0.969,0.969,0.969
S18 TOP,Unknown,1,1,21,1,1,,,,6/16/2016,11:54:56 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.438,,mg N/L,2.62,0.118,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,95.3,70.5,0.438,0.438,0.438
S18 TOP,Unknown,1,1,21,1,1,,,,6/16/2016,11:54:56 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.0297,,mg N/L,0.301,0.0099,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,112,58.1,0.0297,0.0297,0.0297
S18 BOT,Unknown,1,1,22,1,1,,,,6/16/2016,11:56:07 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.331,,mg N/L,1.99,0.0865,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,94,71.3,0.331,0.331,0.331
S18 BOT,Unknown,1,1,22,1,1,,,,6/16/2016,11:56:07 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.0324,,mg N/L,0.32,0.0113,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,111,55.7,0.0324,0.0324,0.0324
Z10 TOP,Unknown,1,1,23,1,1,,,,6/16/2016,11:57:18 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.473,,mg N/L,2.82,0.125,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,93.2,68.9,0.473,0.473,0.473
Z10 TOP,Unknown,1,1,23,1,1,,,,6/16/2016,11:57:18 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.269,,mg N/L,1.96,0.076,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,113,65.2,0.269,0.269,0.269
Z10 BOT,Unknown,1,1,24,1,1,,,,6/16/2016,11:58:28 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.904,,mg N/L,5.3,0.233,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,93.6,70.1,0.904,0.904,0.904
Z10 BOT,Unknown,1,1,24,1,1,,,,6/16/2016,11:58:28 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.156,,mg N/L,1.18,0.0448,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,112,67.2,0.156,0.156,0.156
BLK7,Unknown,1,1,25,1,1,,,,6/16/2016,11:59:39 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.0111,,mg N/L,0.0533,0.00322,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,101,82.1,0.0111,0.0111,0.0111
BLK7,Unknown,1,1,25,1,1,,,,6/16/2016,11:59:39 AM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.0281,,mg N/L,0.29,0.0104,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,112,80,0.0281,0.0281,0.0281
G7 TOP,Unknown,1,1,26,1,1,,,,6/16/2016,12:00:49 PM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.18,,mg N/L,1.08,0.0467,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,92.4,68.9,0.18,0.18,0.18
G7 TOP,Unknown,1,1,26,1,1,,,,6/16/2016,12:00:49 PM,instrument,OM_6-16-2016_10-50-00AM.OMN,,2,Ammonia,0.0911,,mg N/L,0.726,0.0263,Conc = 1.79e-4 * Area^2 + 0.144 * Area - 0.0138,113,64.7,0.0911,0.0911,0.0911
G7 BOT,Unknown,1,1,27,1,1,,,,6/16/2016,12:02:00 PM,instrument,OM_6-16-2016_10-50-00AM.OMN,,1,NItrate/Nitrite,0.258,,mg N/L,1.55,0.0661,Conc = 1.42e-3 * Area^2 + 0.163 * Area + 2.41e-3,92,67.6,0.258,0.258,0.258
